Sequential ID,Traceability ID,Category,Scope,Rule description,HMRC reference,Publication title,Version,Page/paragraph identifier,URL,Last updated,Error code,Acceptance criteria,Verification procedure
954,TDR-R-00954,Field-level requirement,Import declaration,Import H5: DE 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present; cardinality 1:1; format a3 Must be Upper Case Defaults to GBP.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!119,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 119,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H5.
- 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present.
- Populate XML path Declaration/ InvoiceAmount @currencyID only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format a3 Must be Upper Case Defaults to GBP.
- Value is drawn from HMRC codelist CurrencyTypes for these items.","1. Create a representative import declaration payload for H5.
2. Populate or omit 4/11 Total Amount Invoiced - Currency according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
955,TDR-R-00955,Field-level requirement,Import declaration,Import I1: DE 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present; cardinality 1:1; format a3 Must be Upper Case Defaults to GBP.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!119,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 119,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1.
- 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present.
- Populate XML path Declaration/ InvoiceAmount @currencyID only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format a3 Must be Upper Case Defaults to GBP.
- Value is drawn from HMRC codelist CurrencyTypes for these items.","1. Create a representative import declaration payload for I1.
2. Populate or omit 4/11 Total Amount Invoiced - Currency according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
956,TDR-R-00956,Field-level requirement,Import declaration,Import I1 (B&E): DE 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present; cardinality 1:1; format a3 Must be Upper Case Defaults to GBP.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!119,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 119,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is I1 (B&E).
- 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present.
- Populate XML path Declaration/ InvoiceAmount @currencyID only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format a3 Must be Upper Case Defaults to GBP.
- Value is drawn from HMRC codelist CurrencyTypes for these items.","1. Create a representative import declaration payload for I1 (B&E).
2. Populate or omit 4/11 Total Amount Invoiced - Currency according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
957,TDR-R-00957,Field-level requirement,Import declaration,Import C21I: DE 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present; cardinality 1:1; format a3 Must be Upper Case Defaults to GBP.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!119,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 119,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I.
- 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present.
- Populate XML path Declaration/ InvoiceAmount @currencyID only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format a3 Must be Upper Case Defaults to GBP.
- Value is drawn from HMRC codelist CurrencyTypes for these items.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 4/11 Total Amount Invoiced - Currency according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
958,TDR-R-00958,Field-level requirement,Import declaration,Import C21I EIDR: DE 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present; cardinality 1:1; format a3 Must be Upper Case Defaults to GBP.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!119,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 119,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I EIDR.
- 4/11 Total Amount Invoiced - Currency at H level is mandatory when the group-level item is present.
- Populate XML path Declaration/ InvoiceAmount @currencyID only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format a3 Must be Upper Case Defaults to GBP.
- Value is drawn from HMRC codelist CurrencyTypes for these items.","1. Create a representative import declaration payload for C21I EIDR.
2. Populate or omit 4/11 Total Amount Invoiced - Currency according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
959,TDR-R-00959,Field-level requirement,Import declaration,Import H1: DE 4/13 Valuation Indicators at I level is dependent; cardinality 1x; format an4.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!120,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 120,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H1.
- 4/13 Valuation Indicators at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ ValuationAdjustment/ AdditionCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format an4.
- Value is drawn from HMRC codelist ValuationIndicatorTypes for these items.","1. Create a representative import declaration payload for H1.
2. Populate or omit 4/13 Valuation Indicators according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
960,TDR-R-00960,Field-level requirement,Import declaration,Import H4: DE 4/13 Valuation Indicators at I level is dependent; cardinality 1x; format an4.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!120,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 120,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H4.
- 4/13 Valuation Indicators at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ ValuationAdjustment/ AdditionCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format an4.
- Value is drawn from HMRC codelist ValuationIndicatorTypes for these items.","1. Create a representative import declaration payload for H4.
2. Populate or omit 4/13 Valuation Indicators according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
961,TDR-R-00961,Field-level requirement,Import declaration,Import H5: DE 4/13 Valuation Indicators at I level is dependent; cardinality 1x; format an4.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!120,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 120,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is H5.
- 4/13 Valuation Indicators at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ ValuationAdjustment/ AdditionCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format an4.
- Value is drawn from HMRC codelist ValuationIndicatorTypes for these items.","1. Create a representative import declaration payload for H5.
2. Populate or omit 4/13 Valuation Indicators according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
962,TDR-R-00962,Field-level requirement,Import declaration,Import C21I: DE 4/13 Valuation Indicators at I level is not allowed; cardinality 1x; format an4.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!120,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 120,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10002 | CDS10010 | xml_validation_error | CDS10020,"- Import declaration context is C21I.
- 4/13 Valuation Indicators at I level is not allowed.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ ValuationAdjustment/ AdditionCode only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format an4.
- Value is drawn from HMRC codelist ValuationIndicatorTypes for these items.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 4/13 Valuation Indicators according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
963,TDR-R-00963,Field-level requirement,Import declaration,Import H1: DE 4/14 Item Price at I level is dependent; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error,"- Import declaration context is H1.
- 4/14 Item Price at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for H1.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
964,TDR-R-00964,Field-level requirement,Import declaration,Import H3: DE 4/14 Item Price at I level is mandatory; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H3.
- 4/14 Item Price at I level is mandatory.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for H3.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
965,TDR-R-00965,Field-level requirement,Import declaration,Import H4: DE 4/14 Item Price at I level is mandatory; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H4.
- 4/14 Item Price at I level is mandatory.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for H4.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
966,TDR-R-00966,Field-level requirement,Import declaration,Import H5: DE 4/14 Item Price at I level is dependent; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error,"- Import declaration context is H5.
- 4/14 Item Price at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for H5.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
967,TDR-R-00967,Field-level requirement,Import declaration,Import H8: DE 4/14 Item Price at I level is mandatory; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H8.
- 4/14 Item Price at I level is mandatory.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for H8.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
968,TDR-R-00968,Field-level requirement,Import declaration,Import I1: DE 4/14 Item Price at I level is dependent; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error,"- Import declaration context is I1.
- 4/14 Item Price at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for I1.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
969,TDR-R-00969,Field-level requirement,Import declaration,Import I1 (B&E): DE 4/14 Item Price at I level is mandatory; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is I1 (B&E).
- 4/14 Item Price at I level is mandatory.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for I1 (B&E).
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
970,TDR-R-00970,Field-level requirement,Import declaration,Import C21I: DE 4/14 Item Price at I level is dependent; cardinality 1x; format -.,CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!121,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 121,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS12070 | CDS10010 | xml_validation_error,"- Import declaration context is C21I.
- 4/14 Item Price at I level is dependent.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1x.
- Value conforms to HMRC format -.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 4/14 Item Price according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
971,TDR-R-00971,Field-level requirement,Import declaration,"Import H1: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H1.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for H1.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
972,TDR-R-00972,Field-level requirement,Import declaration,"Import H3: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H3.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for H3.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
973,TDR-R-00973,Field-level requirement,Import declaration,"Import H4: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H4.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for H4.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
974,TDR-R-00974,Field-level requirement,Import declaration,"Import H5: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H5.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for H5.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
975,TDR-R-00975,Field-level requirement,Import declaration,"Import H8: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is H8.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for H8.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
976,TDR-R-00976,Field-level requirement,Import declaration,"Import I1: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is I1.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for I1.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
977,TDR-R-00977,Field-level requirement,Import declaration,"Import I1 (B&E): DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is I1 (B&E).
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for I1 (B&E).
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
978,TDR-R-00978,Field-level requirement,Import declaration,"Import C21I: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is C21I.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for C21I.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
979,TDR-R-00979,Field-level requirement,Import declaration,"Import C21I EIDR: DE 4/14 Item Price - Amount at I level is mandatory when the group-level item is present; cardinality 1:1; format n..16,2.",CDS 03 Declaration Technical Completion Matrix for Imports | v3.92 | Data Completion Rules!122,CDS 03 Declaration Technical Completion Matrix for Imports,v3.92,Data Completion Rules row 122,https://developer.service.hmrc.gov.uk/guides/customs-declarations-end-to-end-service-guide/documentation/resources/CDS_Technical_Documentation.zip,2026-02-19,CDS10001 | CDS10010 | xml_validation_error,"- Import declaration context is C21I EIDR.
- 4/14 Item Price - Amount at I level is mandatory when the group-level item is present.
- Populate XML path Declaration/GoodsShipment/ GovernmentAgencyGoodsItem/ Commodity/ InvoiceLine/ ItemChargeAmount only where this rule permits it.
- Respect cardinality 1:1.
- Value conforms to HMRC format n..16,2.","1. Create a representative import declaration payload for C21I EIDR.
2. Populate or omit 4/14 Item Price - Amount according to the rule under test.
3. Run local schema validation against the HMRC-published XSD where applicable.
4. Run business-rule validation or submit in the correct HMRC environment for the message type.
5. Record whether the payload is accepted without the listed error code or pattern."
